file,emotion,valence,activation,dominance
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,ang,2.0,4.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F000.wav,xxx,3.5,2.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F001.wav,xxx,2.0,2.0,2.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F002.wav,sad,2.0,1.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F003.wav,neu,3.0,2.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F004.wav,neu,3.5,2.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F005.wav,sad,2.0,2.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F006.wav,sad,3.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F007.wav,sad,3.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F008.wav,sad,2.5,3.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F009.wav,neu,2.5,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F010.wav,sad,2.0,2.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F011.wav,sad,2.0,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F012.wav,sad,2.0,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F013.wav,sad,2.0,2.0,2.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F014.wav,sad,3.0,3.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F015.wav,sad,2.0,2.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F016.wav,neu,4.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F017.wav,xxx,4.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F018.wav,neu,4.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F019.wav,neu,2.5,2.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F020.wav,sad,2.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F021.wav,sad,2.0,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F022.wav,sad,4.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F023.wav,sad,2.5,2.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F024.wav,sad,1.5,2.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F025.wav,sad,3.0,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F026.wav,sad,3.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F027.wav,neu,2.0,2.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F028.wav,sad,3.0,3.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M000.wav,sad,2.5,2.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M001.wav,neu,2.5,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M002.wav,neu,2.5,2.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M003.wav,sad,2.5,2.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M004.wav,neu,3.0,3.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M005.wav,neu,3.0,2.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M006.wav,neu,3.0,2.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M007.wav,sad,3.0,2.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M008.wav,neu,3.0,2.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M009.wav,neu,3.0,2.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M010.wav,neu,3.0,2.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M011.wav,neu,3.0,2.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M012.wav,neu,2.5,2.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M013.wav,neu,3.0,2.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M014.wav,neu,3.0,2.5,2.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M015.wav,neu,3.0,3.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M016.wav,neu,3.0,2.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M017.wav,xxx,4.0,3.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F000.wav,exc,5.0,5.0,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F001.wav,xxx,4.0,4.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F002.wav,exc,4.0,4.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F003.wav,exc,4.5,4.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F004.wav,exc,3.0,3.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F005.wav,exc,5.0,4.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F006.wav,xxx,4.5,4.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F007.wav,xxx,4.0,4.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F008.wav,xxx,4.0,3.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F009.wav,exc,4.0,3.0,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F010.wav,exc,5.0,4.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F011.wav,xxx,4.0,3.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F012.wav,exc,4.5,4.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F013.wav,exc,4.5,4.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F014.wav,xxx,4.0,3.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F015.wav,xxx,4.5,4.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F016.wav,exc,4.5,3.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M000.wav,exc,3.5,3.0,2.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M001.wav,exc,4.5,4.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M002.wav,exc,4.5,4.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M003.wav,exc,4.5,3.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M004.wav,exc,4.0,4.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M005.wav,exc,4.5,4.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M006.wav,exc,4.5,4.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M007.wav,exc,4.5,4.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M008.wav,exc,4.0,3.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M009.wav,exc,3.5,4.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M010.wav,xxx,3.5,3.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M011.wav,xxx,3.0,2.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M012.wav,neu,3.0,2.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M013.wav,neu,4.0,2.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M014.wav,exc,4.0,4.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M015.wav,exc,4.5,4.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M016.wav,xxx,4.5,4.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M017.wav,exc,4.0,3.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M018.wav,neu,4.0,3.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M019.wav,hap,4.5,4.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F000.wav,xxx,4.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F001.wav,xxx,4.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F002.wav,xxx,4.0,2.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F003.wav,sur,4.5,4.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F004.wav,xxx,2.0,3.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F005.wav,xxx,2.5,2.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F006.wav,neu,2.5,2.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F007.wav,xxx,4.0,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F008.wav,xxx,2.5,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F009.wav,xxx,2.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F010.wav,neu,3.0,2.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F011.wav,ang,2.0,2.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F012.wav,xxx,2.0,4.0,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F013.wav,xxx,1.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F014.wav,xxx,2.0,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F015.wav,ang,1.5,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F016.wav,xxx,2.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F017.wav,ang,3.0,3.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F018.wav,xxx,2.5,2.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F019.wav,xxx,2.0,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F020.wav,xxx,2.0,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F021.wav,xxx,2.0,3.0,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F022.wav,ang,1.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F023.wav,ang,1.5,4.5,5.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F024.wav,ang,2.0,4.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F025.wav,ang,1.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F026.wav,ang,1.5,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F027.wav,ang,1.5,2.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F028.wav,ang,4.0,4.0,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F029.wav,ang,2.0,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F030.wav,ang,1.5,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F031.wav,ang,2.5,2.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F032.wav,xxx,2.5,3.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F033.wav,ang,3.0,4.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F034.wav,ang,2.0,3.5,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F035.wav,ang,2.5,4.0,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F036.wav,ang,2.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F037.wav,ang,2.0,4.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F038.wav,ang,1.5,4.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F039.wav,ang,1.0,4.5,5.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F040.wav,ang,1.0,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_F041.wav,ang,1.0,5.0,5.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M000.wav,xxx,4.0,3.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M001.wav,xxx,3.5,3.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M002.wav,xxx,3.5,2.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M003.wav,xxx,2.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M004.wav,xxx,2.5,2.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M005.wav,xxx,2.0,3.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M006.wav,xxx,2.0,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M007.wav,xxx,2.0,3.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M008.wav,xxx,2.0,3.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M009.wav,xxx,2.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M010.wav,xxx,2.0,2.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M011.wav,xxx,3.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M012.wav,neu,3.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M013.wav,neu,3.0,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M014.wav,xxx,2.0,3.5,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M015.wav,xxx,2.5,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M016.wav,fru,2.5,3.0,4.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M017.wav,fru,2.0,3.5,2.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M018.wav,neu,3.0,3.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M019.wav,xxx,2.5,2.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M020.wav,xxx,2.5,2.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M021.wav,xxx,3.0,3.0,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M022.wav,ang,2.0,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M023.wav,ang,2.0,4.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M024.wav,ang,2.0,4.0,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M025.wav,ang,2.0,3.0,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M026.wav,ang,2.0,4.0,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M027.wav,ang,1.5,3.5,5.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M028.wav,ang,1.0,4.0,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M029.wav,ang,1.0,4.5,5.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M030.wav,ang,2.0,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M031.wav,ang,2.0,4.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M032.wav,ang,2.5,3.0,3.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M033.wav,ang,2.0,3.5,4.5
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M034.wav,ang,2.0,2.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M035.wav,ang,3.0,3.5,3.0
/scratch/speech/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script0/Ses01M_script03_2_M036.wav,ang,2.0,3.0,3.5
